measure,n,days,win_rate,pnl,expectancy,avg_win,avg_loss,payoff,max_drawdown,median,top1,top3_share,top5_share,ex_top5_pnl,entry_policy,entry_rule,asset,variant,price_bin,status,exp_ci95,p_perm,day_var,holm_adj_p
gross,1,1,0.0,-1.0,-1.0,0.0,-1.0,0.0,1.0,-1.0,-1.0,1.0,1.0,0.0,GRID,T-12,XRP,YES_OUTSIDER,"[0.01,0.05)",INSUFFICIENT_SAMPLE,,,,
gross,17,14,0.0,-17.0,-1.0,0.0,-1.0,0.0,17.0,-1.0,-1.0,0.1765,0.2941,-12.0,GRID,T-12,XRP,YES_OUTSIDER,"[0.05,0.10)",OK,"[-1.0, -1.0]",1.0,0.168367,1.0
gross,38,21,0.0526,-21.3333,-0.561404,7.3333,-1.0,7.3333,26.6667,-1.0,7.3333,-0.6406,-0.5469,-33.0,GRID,T-12,XRP,YES_OUTSIDER,"[0.10,0.15)",OK,"[-1.0, -0.007937]",0.999,4.629377,1.0
gross,95,29,0.1158,-30.8836,-0.325091,4.8288,-1.0,4.8288,42.2792,-1.0,5.6667,-0.5235,-0.8516,-57.1827,GRID,T-12,XRP,YES_OUTSIDER,"[0.15,0.20)",OK,"[-0.642536, 0.031916]",0.969515,10.024339,1.0
gross,98,26,0.2653,20.5305,0.209495,3.5589,-1.0,3.5589,13.0,-1.0,4.0,0.5845,0.9742,0.5305,GRID,T-12,XRP,YES_OUTSIDER,"[0.20,0.25)",OK,"[-0.168993, 0.610076]",0.157921,14.234175,1.0
gross,132,27,0.3636,45.2279,0.342636,2.6922,-1.0,2.6922,8.848,-1.0,3.0,0.199,0.3317,30.2279,GRID,T-12,XRP,YES_OUTSIDER,"[0.25,0.30)",OK,"[0.053871, 0.629407]",0.008996,13.642417,1.0
gross,143,29,0.2168,-45.607,-0.31893,2.1417,-1.0,2.1417,47.8328,-1.0,2.3333,-0.1535,-0.2558,-57.2737,GRID,T-12,XRP,YES_OUTSIDER,"[0.30,0.35)",OK,"[-0.52903, -0.064778]",0.998001,10.44476,1.0
gross,133,29,0.3609,-3.0613,-0.023017,1.7071,-1.0,1.7071,21.2508,-1.0,1.8571,-1.82,-3.0333,-12.347,GRID,T-12,XRP,YES_OUTSIDER,"[0.35,0.40)",OK,"[-0.260846, 0.211212]",0.572714,9.216038,1.0
gross,315,30,0.4349,-6.4039,-0.02033,1.2525,-1.0,1.2525,33.8311,-1.0,1.5,-0.7027,-1.1712,-13.9039,GRID,T-12,XRP,YES_OUTSIDER,"[0.40,0.50)",OK,"[-0.146909, 0.121218]",0.602199,16.510657,1.0
gross,93,27,0.3656,-27.5139,-0.295849,0.9261,-1.0,0.9261,30.5858,-1.0,1.0,-0.109,-0.1817,-32.5139,GRID,T-12,XRP,YES_OUTSIDER,"[0.50,0.60)",OK,"[-0.463228, -0.142254]",0.998501,2.801996,1.0
