feature,target_cohort,fold,n_train,n_val,auc,logloss,p_perm,p_holm
is_final_phase,native,F4,349079,109784,0.5,0.5904136214884241,,
log_moneyness,native,F4,0,0,,,,
log_time_left,native,F4,349079,109784,0.5,0.5904136214884241,,
mid_price,native,F4,349079,109784,0.47260646658549654,0.5925278045411306,,
pm_best_ask,native,F4,349079,109784,0.47335743317116397,0.5924580193868566,,
pm_best_bid,native,F4,349079,109784,0.4719941748129526,0.5925804028411876,,
pm_momentum_5m,native,F4,349079,109784,0.4857276404595271,0.5906038187003028,,
pm_quote_pressure,native,F4,349079,109784,0.4726073367458238,0.5925278045411305,,
pm_spread_pct,native,F4,349079,109784,0.5016004578095301,0.5880731692514393,,
pm_volume_5m,native,F4,349079,109784,0.5,0.5904136214884241,,
price_deviation,native,F4,349079,109784,0.7256196171578264,0.5191616384702156,,
price_deviation_sq,native,F4,349079,109784,0.7255868128175693,0.5141037926660971,,
price_distance_from_max,native,F4,349079,109784,0.5185354215980109,0.5857904050775904,,
price_momentum,native,F4,348099,109474,0.4789915128472523,0.590865588718985,,
price_velocity,native,F4,349079,109784,0.4857276404595271,0.5906038187003028,,
price_velocity_lag1,native,F4,349079,109784,0.48789355441783777,0.5906617684437413,,
range_1,native,F4,349079,109784,0.4974770421958282,0.5917587455768578,,
range_avg_24,native,F4,349079,109784,0.5150341977460879,0.5987900063404745,,
ret_1,native,F4,349079,109784,0.5246584962919252,0.5941370257713889,,
ret_12,native,F4,349079,109784,0.5092979051759867,0.594772888942947,,
ret_24,native,F4,349079,109784,0.4978647804191727,0.5903237622657603,,
ret_3,native,F4,349079,109784,0.5037440605008684,0.5929773955928451,,
ret_48,native,F4,349079,109784,0.4936376711829996,0.5919532858390554,,
ret_6,native,F4,349079,109784,0.5022927966701313,0.5976505957753828,,
rsi_14,native,F4,349079,109784,0.5232301241801827,0.590161421207391,,
signed_body_pct,native,F4,349079,109784,0.5247102826350943,0.5941959374257796,,
signed_trend_efficiency_6,native,F4,349079,109784,0.5065382846781281,0.5910460274462245,,
spread,native,F4,349079,109784,0.54207882979547,0.5894114519876934,,
spread_pct,native,F4,349079,109784,0.5016004578095301,0.5880741972988807,,
spread_trend,native,F4,347115,109164,0.5689203874395841,0.5865383238292099,,
strike_gap_pct,native,F4,0,0,,,,
taker_buy_ratio,native,F4,349079,109784,0.5146514970096833,0.5903348379088778,,
time_left_min,native,F4,349079,109784,0.5,0.5904136214884241,,
time_phase,native,F4,349079,109784,0.5,0.5904136214884241,,
up_ratio_4,native,F4,349079,109784,0.4977587239862934,0.5904883561764523,,
velocity_x_phase,native,F4,349079,109784,0.4857276404595271,0.5906038187003028,,
vol_24,native,F4,349079,109784,0.5169151095544173,0.5954328826139387,,
vol_48,native,F4,349079,109784,0.5151432583236286,0.5965202135430735,,
vol_6,native,F4,349079,109784,0.5176268077220993,0.591696091955714,,
vol_ratio,native,F4,349079,109784,0.5053951114446656,0.5903972082588478,,
vol_trend,native,F4,349079,109784,0.5079748752698582,0.5903593075823013,,
vol_z_1,native,F4,349079,109784,0.5094258624384826,0.5904386214749736,,
vol_z_6,native,F4,349079,109784,0.5062014665721914,0.5904700482734485,,
volume_5min,native,F4,349079,109784,0.5,0.5904136214884241,,
volume_trend,native,F4,348099,109474,0.5,0.5901289133814551,,
alternation_rate_6,contract,F4,351167,114210,0.4759649847163313,0.6982844145204294,,
bb_position,contract,F4,351167,114210,0.5136794865556995,0.697350763996704,,
bb_width,contract,F4,351167,114210,0.46986568769150394,0.6982958454443323,,
body_to_range,contract,F4,351167,114210,0.5140353800974095,0.6956756354875964,,
consec_balance,contract,F4,351167,114210,0.5187721793158517,0.6955513911198892,,
consec_down,contract,F4,351167,114210,0.49713675879260344,0.696233217705759,,
consec_up,contract,F4,351167,114210,0.5001148884507983,0.6966045164918105,,
consecutive_down,contract,F4,351167,114210,0.49940473535636787,0.6957872835944067,,
consecutive_up,contract,F4,351167,114210,0.49196360549951895,0.6973866544913948,,
cvd_1,contract,F4,351167,114210,0.49910664666833116,0.696535696073803,,
cvd_6,contract,F4,351167,114210,0.5064819654323115,0.6955475308842803,,
cvd_trend,contract,F4,351167,114210,0.48158196286582877,0.6956838035518744,,
day_of_week,contract,F4,351167,114210,0.5253422316370292,0.6944152152315455,,
dev_sq_x_phase,contract,F4,351167,114210,0.47311032340867765,0.6959898444110737,,
deviation_x_time,contract,F4,351167,114210,0.5,0.6957599183007951,,
direction_lag_1,contract,F4,351167,114210,0.4915548735101062,0.6961966397379277,,
direction_lag_2,contract,F4,351167,114210,0.5123564542629058,0.6956333435767144,,
direction_lag_3,contract,F4,351167,114210,0.5074990201689134,0.695952183995292,,
dist_to_high_24,contract,F4,351167,114210,0.5358912955442376,0.6954880615462627,,
dist_to_high_96,contract,F4,351167,114210,0.5199291300526723,0.7183301713630927,,
dist_to_low_24,contract,F4,351167,114210,0.4874148831699606,0.7014818305494364,,
dist_to_low_96,contract,F4,351167,114210,0.4788702344765209,0.7433423171603183,,
dow,contract,F4,351167,114210,0.5253422316370292,0.6944152152315455,,
dow_cos,contract,F4,351167,114210,0.5478690279817037,0.6938419814909019,,
dow_sin,contract,F4,351167,114210,0.4991825858846882,0.6957759777584033,,
ema_ratio_9_21,contract,F4,351167,114210,0.49276381010525744,0.7052949202601038,,
funding_extreme,contract,F4,0,0,,,,
funding_rate,contract,F4,0,0,,,,
funding_rate_ma3,contract,F4,0,0,,,,
high_price_final,contract,F4,351167,114210,0.47311338932435587,0.6959692544383824,,
hour_cos,contract,F4,351167,114210,0.5219711474188796,0.6947404084669727,,
hour_of_day,contract,F4,351167,114210,0.5190712003748825,0.6952427702180447,,
hour_sin,contract,F4,351167,114210,0.5098121186098437,0.6956761966306977,,
hour_utc,contract,F4,351167,114210,0.5190712003748825,0.6952427702180447,,
is_final_phase,contract,F4,351167,114210,0.5,0.6957599183007951,,
log_moneyness,contract,F4,0,0,,,,
