variant,group,fold,n_train,n_val,logloss,brier,canonical_pnl,best_iter,delta_logloss,delta_brier,delta_canonical_pnl
MINIMAL_CONTROL,,F3,105000,112073,0.5195444199579782,0.176771129717862,-0.010329327158023375,250,-0.03671310231042113,-0.013562438758205952,0.09572896747050073
ALL,,F4,105000,114210,0.5457242180538812,0.18803752223633574,-0.04895539075789211,250,0.0,0.0,0.0
DROP_GROUP_cross_asset_breadth,cross_asset_breadth,F4,105000,114210,0.5556688279035246,0.19204699800139907,-0.08141267279453634,250,0.009944609849643404,0.004009475765063331,-0.03245728203664423
ONLY_GROUP_cross_asset_breadth,cross_asset_breadth,F4,105000,114210,0.7835165756704888,0.28549789776688494,-0.15048400416181731,250,0.23779235761660766,0.0974603755305492,-0.1015286134039252
DROP_GROUP_polymarket_state,polymarket_state,F4,105000,114210,0.5491574477816864,0.18921956054194516,-0.08853932093634201,250,0.0034332297278052426,0.001182038305609423,-0.0395839301784499
ONLY_GROUP_polymarket_state,polymarket_state,F4,105000,114210,0.5338448637816955,0.18168733322763297,-0.048742809780629406,250,-0.011879354272185672,-0.006350189008702767,0.0002125809772627052
DROP_GROUP_price_returns,price_returns,F4,105000,114210,0.5579374029203286,0.19293717941841684,-0.06835608712082464,250,0.012213184866447402,0.004899657182081102,-0.019400696362932526
ONLY_GROUP_price_returns,price_returns,F4,105000,114210,0.7687173874116929,0.28043287532735683,-0.16295010230173518,250,0.22299316935781177,0.09239535309102109,-0.11399471154384307
DROP_GROUP_regime,regime,F4,105000,114210,0.5528413599235348,0.19069806526152971,-0.08323314006855784,250,0.00711714186965362,0.0026605430251939732,-0.034277749310665726
ONLY_GROUP_regime,regime,F4,105000,114210,0.7883769150833977,0.2835668583634169,-0.18018304186441308,250,0.24265269702951653,0.09552933612708114,-0.13122765110652096
DROP_GROUP_sequence,sequence,F4,105000,114210,0.5518404742986538,0.1902117480159656,-0.07921259074749697,250,0.006116256244772633,0.0021742257796298625,-0.030257199989604855
ONLY_GROUP_sequence,sequence,F4,105000,114210,0.5681319002280018,0.19628526340897443,-0.06601085309734313,250,0.02240768217412059,0.008247741172638684,-0.017055462339451016
DROP_GROUP_time,time,F4,105000,114210,0.5478693764434174,0.18870076341441577,-0.07850383180353519,250,0.002145158389536217,0.0006632411780800318,-0.02954844104564308
ONLY_GROUP_time,time,F4,105000,114210,0.7371758446277286,0.26857674544979326,-0.15291954776372452,250,0.1914516265738474,0.08053922321345752,-0.1039641570058324
DROP_GROUP_trend,trend,F4,105000,114210,0.5530196462030268,0.19060413824253536,-0.059497042848203424,250,0.007295428149145633,0.002566616006199618,-0.010541652090311313
ONLY_GROUP_trend,trend,F4,105000,114210,0.750044613082232,0.27348166346133024,-0.1693278063731992,250,0.20432039502835087,0.0854441412249945,-0.12037241561530708
DROP_GROUP_volatility,volatility,F4,105000,114210,0.553690752840584,0.19091253983791337,-0.06184845299341037,250,0.007966534786702839,0.0028750176015776285,-0.012893062235518261
ONLY_GROUP_volatility,volatility,F4,105000,114210,0.7274148759183504,0.2644814710985532,-0.15447132014585477,250,0.18169065786446925,0.07644394886221745,-0.10551592938796266
