asset,entry_rule,price_bin,n_c0,gross_c0,n_ct,gross_ct,prevented_losses,missed_wins,net_diff
SOL,T-5,"[0.90,0.99]",2,-0.9796,0,0,1.0,0.0204,0.9796
SOL,T-8,"[0.01,0.05)",34,41.0,0,0,32.0,73.0,-41.0
SOL,T-8,"[0.05,0.10)",80,18.1746,3,-3.0,70.0,91.1746,-21.1746
SOL,T-8,"[0.10,0.15)",96,-59.9744,2,-2.0,90.0,32.0256,57.9744
SOL,T-8,"[0.15,0.20)",81,-32.3691,14,-14.0,59.0,40.6309,18.3691
SOL,T-8,"[0.20,0.25)",72,-18.3015,14,-9.2381,47.0,37.9366,9.0634
SOL,T-8,"[0.25,0.30)",80,3.2381,29,-7.6855,34.0,44.9235,-10.9235
SOL,T-8,"[0.30,0.35)",74,4.3488,28,16.0441,35.0,23.3047,11.6953
SOL,T-8,"[0.35,0.40)",72,-4.2147,33,-3.2389,25.0,24.0243,0.9757
SOL,T-8,"[0.40,0.50)",111,-11.2062,58,-6.2115,32.0,27.0053,4.9947
SOL,T-8,"[0.50,0.60)",25,-9.1554,10,-2.0392,11.0,3.8839,7.1161
SOL,T-8,"[0.90,0.99]",2,-0.9796,0,0,1.0,0.0204,0.9796
XRP,T-12,"[0.01,0.05)",1,-1.0,0,0,1.0,0,1.0
XRP,T-12,"[0.05,0.10)",17,-17.0,0,0,17.0,0,17.0
XRP,T-12,"[0.10,0.15)",35,-18.3333,0,0,33.0,14.6667,18.3333
XRP,T-12,"[0.15,0.20)",85,-20.8836,0,0,74.0,53.1164,20.8836
XRP,T-12,"[0.20,0.25)",86,20.0305,3,1.5455,61.0,79.485,-18.485
XRP,T-12,"[0.25,0.30)",110,33.8141,9,1.8966,65.0,96.9175,-31.9175
XRP,T-12,"[0.30,0.35)",131,-46.0184,16,-3.7785,92.0,49.7601,42.2399
XRP,T-12,"[0.35,0.40)",118,1.4088,29,14.5752,61.0,47.8335,13.1665
XRP,T-12,"[0.40,0.50)",285,3.7241,135,10.8966,88.0,80.8275,7.1725
