entry_policy,asset,entry_rule,price_bin,n_c0,gross_c0,n_ct,gross_ct,prevented_losses,missed_wins,net_diff
GRID,ETH,T-12,"[0.50,0.60)",68,-3.5217,21,-1.0784,24.0,21.5567,2.4433
GRID,ETH,T-12,"[0.90,0.99]",6,-2.8743,2,-2.0,1.0,0.1257,0.8743
GRID,ETH,T-5,BELOW_0.01,9,-9.0,0,0,9.0,0,9.0
GRID,ETH,T-5,"[0.01,0.05)",152,-102.0,6,-6.0,145.0,49.0,96.0
GRID,ETH,T-5,"[0.05,0.10)",127,-8.9841,12,-12.0,107.0,110.0159,-3.0159
GRID,ETH,T-5,"[0.10,0.15)",76,-1.4812,19,-9.9091,49.0,57.4279,-8.4279
GRID,ETH,T-5,"[0.15,0.20)",73,-31.2843,23,-10.8676,45.0,24.5833,20.4167
GRID,ETH,T-5,"[0.20,0.25)",51,19.9439,20,4.2857,21.0,36.6582,-15.6582
GRID,ETH,T-5,"[0.25,0.30)",52,-18.299,29,-17.7363,17.0,16.4373,0.5627
GRID,ETH,T-5,"[0.30,0.35)",40,12.559,21,3.6758,10.0,18.8832,-8.8832
GRID,ETH,T-5,"[0.35,0.40)",30,0.07,14,8.0254,13.0,5.0446,7.9554
GRID,ETH,T-5,"[0.40,0.50)",69,2.9542,35,3.2826,19.0,18.6716,0.3284
GRID,ETH,T-5,"[0.50,0.60)",15,2.6922,2,-0.0392,5.0,7.7314,-2.7314
GRID,ETH,T-5,"[0.90,0.99]",1,-1.0,0,0,1.0,0,1.0
GRID,ETH,T-8,"[0.01,0.05)",50,-50.0,0,0,50.0,0,50.0
GRID,ETH,T-8,"[0.05,0.10)",68,-51.3333,0,0,67.0,15.6667,51.3333
GRID,ETH,T-8,"[0.10,0.15)",60,-21.3553,3,-3.0,52.0,33.6447,18.3553
GRID,ETH,T-8,"[0.15,0.20)",88,-23.7938,10,1.1455,69.0,44.0607,24.9393
GRID,ETH,T-8,"[0.20,0.25)",74,-10.9132,20,-6.3448,43.0,38.4316,4.5684
GRID,ETH,T-8,"[0.25,0.30)",74,15.735,26,-3.7574,30.0,49.4924,-19.4924
GRID,ETH,T-8,"[0.30,0.35)",60,-6.0818,27,-5.0064,23.0,21.9246,1.0754
GRID,ETH,T-8,"[0.35,0.40)",62,-16.5567,33,-9.1465,21.0,13.5898,7.4102
GRID,ETH,T-8,"[0.40,0.50)",123,2.7471,59,-7.385,31.0,41.1321,-10.1321
GRID,ETH,T-8,"[0.50,0.60)",26,1.9231,11,1.0,7.0,7.9231,-0.9231
GRID,ETH,T-8,"[0.90,0.99]",1,-1.0,0,0,1.0,0,1.0
GRID,SOL,T-12,"[0.01,0.05)",1,-1.0,0,0,1.0,0,1.0
GRID,SOL,T-12,"[0.05,0.10)",14,-14.0,0,0,14.0,0,14.0
GRID,SOL,T-12,"[0.10,0.15)",36,-21.1648,0,0,34.0,12.8352,21.1648
GRID,SOL,T-12,"[0.15,0.20)",72,2.7012,0,0,59.0,61.7012,-2.7012
GRID,SOL,T-12,"[0.20,0.25)",92,-7.3576,2,-2.0,71.0,65.6424,5.3576
GRID,SOL,T-12,"[0.25,0.30)",111,-4.228,2,-2.0,80.0,77.772,2.228
GRID,SOL,T-12,"[0.30,0.35)",122,-7.1472,14,-1.7841,75.0,69.6369,5.3631
GRID,SOL,T-12,"[0.35,0.40)",126,-6.6694,30,5.258,65.0,53.0725,11.9275
GRID,SOL,T-12,"[0.40,0.50)",274,-39.5512,135,-18.2994,87.0,65.7482,21.2518
GRID,SOL,T-12,"[0.50,0.60)",99,1.2749,39,4.2277,30.0,27.0473,2.9527
GRID,SOL,T-12,"[0.90,0.99]",15,-6.7092,1,0.0204,7.0,0.2704,6.7296
GRID,SOL,T-5,BELOW_0.01,5,-5.0,0,0,5.0,0,5.0
GRID,SOL,T-5,"[0.01,0.05)",158,50.3333,9,116.0,147.0,81.3333,65.6667
GRID,SOL,T-5,"[0.05,0.10)",122,-70.8889,11,-11.0,108.0,48.1111,59.8889
GRID,SOL,T-5,"[0.10,0.15)",80,-20.6565,18,-1.7662,57.0,38.1098,18.8902
GRID,SOL,T-5,"[0.15,0.20)",67,-15.5423,20,-2.9313,41.0,28.389,12.611
GRID,SOL,T-5,"[0.20,0.25)",57,-12.3656,19,-6.1377,31.0,24.7721,6.2279
GRID,SOL,T-5,"[0.25,0.30)",56,3.6894,23,-4.4089,22.0,30.0983,-8.0983
GRID,SOL,T-5,"[0.30,0.35)",38,-3.6897,17,-1.2681,15.0,12.5784,2.4216
GRID,SOL,T-5,"[0.35,0.40)",42,11.987,20,14.8975,15.0,12.0895,2.9105
GRID,SOL,T-5,"[0.40,0.50)",80,6.9308,31,13.5521,30.0,23.3787,6.6213
GRID,SOL,T-5,"[0.50,0.60)",25,-1.347,6,-0.0784,10.0,8.7314,1.2686
GRID,SOL,T-5,"[0.60,0.70)",1,-1.0,0,0,1.0,0,1.0
GRID,SOL,T-5,"[0.90,0.99]",2,-0.9796,0,0,1.0,0.0204,0.9796
GRID,SOL,T-8,"[0.01,0.05)",34,41.0,0,0,32.0,73.0,-41.0
GRID,SOL,T-8,"[0.05,0.10)",80,18.1746,3,-3.0,70.0,91.1746,-21.1746
GRID,SOL,T-8,"[0.10,0.15)",96,-59.9744,2,-2.0,90.0,32.0256,57.9744
GRID,SOL,T-8,"[0.15,0.20)",81,-32.3691,14,-14.0,59.0,40.6309,18.3691
GRID,SOL,T-8,"[0.20,0.25)",72,-18.3015,14,-9.2381,47.0,37.9366,9.0634
GRID,SOL,T-8,"[0.25,0.30)",80,3.2381,29,-7.6855,34.0,44.9235,-10.9235
GRID,SOL,T-8,"[0.30,0.35)",74,4.3488,28,16.0441,35.0,23.3047,11.6953
GRID,SOL,T-8,"[0.35,0.40)",72,-4.2147,33,-3.2389,25.0,24.0243,0.9757
GRID,SOL,T-8,"[0.40,0.50)",111,-11.2062,58,-6.2115,32.0,27.0053,4.9947
GRID,SOL,T-8,"[0.50,0.60)",25,-9.1554,10,-2.0392,11.0,3.8839,7.1161
GRID,SOL,T-8,"[0.90,0.99]",2,-0.9796,0,0,1.0,0.0204,0.9796
GRID,XRP,T-12,"[0.01,0.05)",1,-1.0,0,0,1.0,0,1.0
GRID,XRP,T-12,"[0.05,0.10)",17,-17.0,0,0,17.0,0,17.0
GRID,XRP,T-12,"[0.10,0.15)",35,-18.3333,0,0,33.0,14.6667,18.3333
GRID,XRP,T-12,"[0.15,0.20)",85,-20.8836,0,0,74.0,53.1164,20.8836
GRID,XRP,T-12,"[0.20,0.25)",86,20.0305,3,1.5455,61.0,79.485,-18.485
GRID,XRP,T-12,"[0.25,0.30)",110,33.8141,9,1.8966,65.0,96.9175,-31.9175
GRID,XRP,T-12,"[0.30,0.35)",131,-46.0184,16,-3.7785,92.0,49.7601,42.2399
GRID,XRP,T-12,"[0.35,0.40)",118,1.4088,29,14.5752,61.0,47.8335,13.1665
GRID,XRP,T-12,"[0.40,0.50)",285,3.7241,135,10.8966,88.0,80.8275,7.1725
GRID,XRP,T-12,"[0.50,0.60)",87,-27.4355,40,-16.4646,28.0,17.0292,10.9708
GRID,XRP,T-12,"[0.90,0.99]",11,-3.8571,1,-1.0,3.0,0.1429,2.8571
GRID,XRP,T-5,BELOW_0.01,16,-16.0,0,0,16.0,0,16.0
GRID,XRP,T-5,"[0.01,0.05)",163,-88.0,7,-7.0,154.0,73.0,81.0
GRID,XRP,T-5,"[0.05,0.10)",116,-16.9921,6,8.2857,104.0,78.7222,25.2778
GRID,XRP,T-5,"[0.10,0.15)",81,-54.9744,14,-14.0,64.0,23.0256,40.9744
GRID,XRP,T-5,"[0.15,0.20)",57,-40.2237,20,-20.0,34.0,13.7763,20.2237
GRID,XRP,T-5,"[0.20,0.25)",41,-13.8355,18,-18.0,17.0,21.1645,-4.1645
GRID,XRP,T-5,"[0.25,0.30)",43,-0.0962,10,8.141,26.0,17.7628,8.2372
GRID,XRP,T-5,"[0.30,0.35)",44,-16.2304,19,-3.6474,21.0,8.417,12.583
GRID,XRP,T-5,"[0.35,0.40)",38,-0.4193,18,3.7165,14.0,9.8642,4.1358
GRID,XRP,T-5,"[0.40,0.50)",81,-3.0612,42,5.1421,25.0,16.7968,8.2032
GRID,XRP,T-5,"[0.50,0.60)",23,2.4599,7,-1.1161,6.0,9.5761,-3.5761
GRID,XRP,T-5,"[0.90,0.99]",2,-2.0,0,0,2.0,0,2.0
GRID,XRP,T-8,BELOW_0.01,1,-1.0,0,0,1.0,0,1.0
GRID,XRP,T-8,"[0.01,0.05)",38,-4.6667,1,-1.0,36.0,32.3333,3.6667
GRID,XRP,T-8,"[0.05,0.10)",77,-64.5,0,0,76.0,11.5,64.5
GRID,XRP,T-8,"[0.10,0.15)",93,-24.7749,2,5.1429,84.0,54.0823,29.9178
GRID,XRP,T-8,"[0.15,0.20)",88,-35.3413,13,-7.7368,67.0,39.3955,27.6045
GRID,XRP,T-8,"[0.20,0.25)",76,-43.6543,18,-13.8333,52.0,22.179,29.821
GRID,XRP,T-8,"[0.25,0.30)",57,-20.1163,20,-16.4286,28.0,24.3123,3.6877
GRID,XRP,T-8,"[0.30,0.35)",59,2.8443,28,-0.509,20.0,23.3532,-3.3532
GRID,XRP,T-8,"[0.35,0.40)",66,1.1833,33,1.5528,21.0,20.6304,0.3696
GRID,XRP,T-8,"[0.40,0.50)",123,11.0982,63,6.2234,31.0,35.8747,-4.8747
GRID,XRP,T-8,"[0.50,0.60)",21,2.5761,12,1.7285,4.0,4.8476,-0.8476
GRID,XRP,T-8,"[0.60,0.70)",1,0.6393,0,0,0,0.6393,-0.6393
GRID,XRP,T-8,"[0.90,0.99]",2,-2.0,0,0,2.0,0,2.0
