measure,n,days,win_rate,pnl,expectancy,avg_win,avg_loss,payoff,max_drawdown,median,top1,top3_share,top5_share,ex_top5_pnl,entry_policy,entry_rule,asset,variant,price_bin,status,exp_ci95,p_perm,day_var,holm_adj_p
gross,5,5,0.0,-5.0,-1.0,0.0,-1.0,0.0,5.0,-1.0,-1.0,0.6,1.0,0.0,FUNNEL,FUNNEL_OBSERVED,ETH,YES_OUTSIDER,"[0.20,0.25)",INSUFFICIENT_SAMPLE,,,,
gross,5,4,0.2,-1.0,-0.2,3.0,-1.0,3.0,4.0,-1.0,3.0,-1.0,1.0,0.0,FUNNEL,FUNNEL_OBSERVED,ETH,YES_OUTSIDER,"[0.25,0.30)",INSUFFICIENT_SAMPLE,,,,
gross,27,13,0.2593,-5.5696,-0.20628,2.0615,-1.0,2.0615,9.9697,-1.0,2.2258,-1.1808,-1.8939,-16.1176,FUNNEL,FUNNEL_OBSERVED,ETH,YES_OUTSIDER,"[0.30,0.35)",OK,"[-0.61678, 0.198889]",0.847076,2.297157,1.0
gross,78,25,0.3462,-5.3475,-0.068558,1.6908,-1.0,1.6908,14.2862,-1.0,1.8571,-1.0419,-1.7365,-14.6332,FUNNEL,FUNNEL_OBSERVED,ETH,YES_OUTSIDER,"[0.35,0.40)",OK,"[-0.286354, 0.150957]",0.710645,3.097147,1.0
gross,707,29,0.4738,23.5756,0.033346,1.1808,-1.0,1.1808,29.8064,-1.0,1.5,0.1909,0.3181,16.0756,FUNNEL,FUNNEL_OBSERVED,ETH,YES_OUTSIDER,"[0.40,0.50)",OK,"[-0.060284, 0.124759]",0.246877,40.208179,1.0
gross,144,26,0.5,0.0,0.0,1.0,-1.0,1.0,15.0,0.0,1.0,,,-5.0,FUNNEL,FUNNEL_OBSERVED,ETH,YES_OUTSIDER,"[0.50,0.60)",OK,"[-0.166667, 0.183099]",0.524738,6.538462,1.0
gross,1,1,1.0,0.001,0.001001,0.001,0.0,,0.0,0.001,0.001,1.0,1.0,0.0,FUNNEL,FUNNEL_OBSERVED,SOL,NO_FAVORITE,ABOVE_0.99,INSUFFICIENT_SAMPLE,,,,
gross,231,29,0.4935,-13.7999,-0.05974,0.9053,-1.0,0.9053,22.0777,-1.0,0.9608,-0.2089,-0.3481,-18.6038,FUNNEL,FUNNEL_OBSERVED,SOL,NO_FAVORITE,"[0.50,0.60)",OK,"[-0.144632, 0.020917]",0.935032,3.094573,1.0
gross,31,15,0.5484,-4.9868,-0.160865,0.5302,-1.0,0.5302,7.6608,0.4493,0.6667,-0.4011,-0.6475,-8.216,FUNNEL,FUNNEL_OBSERVED,SOL,NO_FAVORITE,"[0.60,0.70)",OK,"[-0.388458, 0.178895]",0.845577,1.533877,1.0
gross,39,19,0.6923,-2.6877,-0.068916,0.3449,-1.0,0.3449,6.9302,0.3158,0.4286,-0.4634,-0.7528,-4.711,FUNNEL,FUNNEL_OBSERVED,SOL,NO_FAVORITE,"[0.70,0.80)",OK,"[-0.261522, 0.144019]",0.743628,0.957094,1.0
gross,39,22,0.7436,-5.1282,-0.131492,0.168,-1.0,0.168,6.5365,0.1494,0.25,-0.1373,-0.2172,-6.2419,FUNNEL,FUNNEL_OBSERVED,SOL,NO_FAVORITE,"[0.80,0.90)",OK,"[-0.295908, 0.066744]",0.88006,0.775186,1.0
gross,35,22,0.7714,-6.284,-0.179544,0.0636,-1.0,0.0636,6.6474,0.0526,0.1111,-0.053,-0.0884,-6.8396,FUNNEL,FUNNEL_OBSERVED,SOL,NO_FAVORITE,"[0.90,0.99]",OK,"[-0.331407, -0.024622]",0.955522,0.500601,1.0
gross,1,1,0.0,-1.0,-1.0,0.0,-1.0,0.0,1.0,-1.0,-1.0,1.0,1.0,0.0,FUNNEL,FUNNEL_OBSERVED,SOL,NO_OUTSIDER,"[0.01,0.05)",INSUFFICIENT_SAMPLE,,,,
gross,1,1,0.0,-1.0,-1.0,0.0,-1.0,0.0,1.0,-1.0,-1.0,1.0,1.0,0.0,FUNNEL,FUNNEL_OBSERVED,SOL,NO_OUTSIDER,"[0.05,0.10)",INSUFFICIENT_SAMPLE,,,,
gross,3,2,0.6667,8.1455,2.71517,4.5728,-1.0,4.5728,1.0,4.2632,4.8824,1.0,1.0,0.0,FUNNEL,FUNNEL_OBSERVED,SOL,NO_OUTSIDER,"[0.15,0.20)",INSUFFICIENT_SAMPLE,,,,
gross,5,2,0.2,-0.4545,-0.090909,3.5455,-1.0,3.5455,3.0,-1.0,3.5455,-3.4,1.0,0.0,FUNNEL,FUNNEL_OBSERVED,SOL,NO_OUTSIDER,"[0.20,0.25)",INSUFFICIENT_SAMPLE,,,,
gross,5,5,0.4,2.152,0.430396,2.576,-1.0,2.576,3.0,-1.0,2.7037,1.9294,1.0,0.0,FUNNEL,FUNNEL_OBSERVED,SOL,NO_OUTSIDER,"[0.25,0.30)",INSUFFICIENT_SAMPLE,,,,
gross,35,20,0.2571,-7.4014,-0.211469,2.0665,-1.0,2.0665,11.5684,-1.0,2.3333,-0.9031,-1.4517,-18.1462,FUNNEL,FUNNEL_OBSERVED,SOL,NO_OUTSIDER,"[0.30,0.35)",OK,"[-0.56406, 0.192827]",0.862569,2.217475,1.0
gross,124,26,0.3629,-3.6688,-0.029587,1.674,-1.0,1.674,16.6558,-1.0,1.8571,-1.5186,-2.531,-12.9545,FUNNEL,FUNNEL_OBSERVED,SOL,NO_OUTSIDER,"[0.35,0.40)",OK,"[-0.238059, 0.15618]",0.611194,5.404613,1.0
gross,610,30,0.4508,-14.0945,-0.023106,1.1669,-1.0,1.1669,46.9229,-1.0,1.5,-0.3193,-0.5321,-21.5945,FUNNEL,FUNNEL_OBSERVED,SOL,NO_OUTSIDER,"[0.40,0.50)",OK,"[-0.111516, 0.068193]",0.685657,26.507977,1.0
gross,175,28,0.5314,11.0,0.062857,1.0,-1.0,1.0,15.0,1.0,1.0,0.2727,0.4545,6.0,FUNNEL,FUNNEL_OBSERVED,SOL,NO_OUTSIDER,"[0.50,0.60)",OK,"[-0.078652, 0.220779]",0.211394,6.024235,1.0
gross,131,27,0.5038,-5.3353,-0.040727,0.904,-1.0,0.904,11.7546,0.6949,0.9608,-0.5402,-0.9004,-10.1392,FUNNEL,FUNNEL_OBSERVED,SOL,YES_FAVORITE,"[0.50,0.60)",OK,"[-0.212035, 0.09797]",0.731634,3.634861,1.0
gross,27,15,0.7407,4.4,0.162962,0.57,-1.0,0.57,2.0,0.5152,0.6667,0.4545,0.7576,1.0666,FUNNEL,FUNNEL_OBSERVED,SOL,YES_FAVORITE,"[0.60,0.70)",OK,"[-0.070627, 0.387601]",0.068966,0.6979,1.0
