opportunity_id,market_id,is_c0,is_ct,decision_at,reason,detail
3913127_2026-08-27T21:40:07.608321+00:00,3913127,False,False,2026-08-27T21:40:07.608321+00:00,DIRECTION_MISMATCH_NO,"Market had requests for ['NO'], but strategy bought YES"
3914566_2026-08-27T21:55:07.519337+00:00,3914566,False,False,2026-08-27T21:55:07.519337+00:00,DIRECTION_MISMATCH_NO,"Market had requests for ['NO'], but strategy bought YES"
3915161_2026-08-27T22:10:07.620097+00:00,3915161,False,False,2026-08-27T22:10:07.620097+00:00,DIRECTION_MISMATCH_NO,"Market had requests for ['NO'], but strategy bought YES"
3915336_2026-08-27T22:25:07.743948+00:00,3915336,False,False,2026-08-27T22:25:07.743948+00:00,TIMING_MISMATCH_PRIOR,"All YES requests were created before decision moment (min_dt=-284.9s, max_dt=-284.9s)"
3915486_2026-08-27T22:40:07.634696+00:00,3915486,False,False,2026-08-27T22:40:07.634696+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
3915904_2026-08-27T22:55:07.850301+00:00,3915904,False,False,2026-08-27T22:55:07.850301+00:00,TIMING_MISMATCH_PRIOR,"All YES requests were created before decision moment (min_dt=-30.0s, max_dt=-30.0s)"
3916166_2026-08-27T23:10:07.828381+00:00,3916166,True,False,2026-08-27T23:10:07.828381+00:00,NO_REQUEST_FOR_MARKET,No execution records found in database for this market
3916234_2026-08-27T23:25:07.462272+00:00,3916234,False,False,2026-08-27T23:25:07.462272+00:00,DIRECTION_MISMATCH_NO,"Market had requests for ['NO'], but strategy bought YES"
3916327_2026-08-27T23:40:07.842531+00:00,3916327,True,True,2026-08-27T23:40:07.842531+00:00,TIMING_MISMATCH_PRIOR,"All YES requests were created before decision moment (min_dt=-494.8s, max_dt=-494.8s)"
3916828_2026-08-27T23:55:07.474111+00:00,3916828,False,False,2026-08-27T23:55:07.474111+00:00,TIMING_MISMATCH_PRIOR,"All YES requests were created before decision moment (min_dt=-449.4s, max_dt=-449.4s)"
