opportunity_id,market_id,asset,calendar_date,decision_at,time_left_min,best_bid,best_ask,executable_ask,spread,final_outcome,target,is_candidate_price,former_favorite_group,token_regime_CT,token_er,token_sign_flips,token_autocorr,spot_regime_CS,spot_er,spot_regime_CS_short,spot_short_reason,spot_price_at_decision,proxy_strike,proxy_reversion_helps,shares,gross_pnl,taker_fee,net_pnl,cohort_tag,neither_subgroup,variants,execution_sim,exclusion_reason,reproduced_fee,reproduced_net_pnl,new_fee,purchase_cash,settlement_proceeds,new_net_pnl,unknown_fee,gross_positive,net_positive,sign_changed
3539523_2026-08-13T13:55:03.529463+00:00,3539523,BTC,2026-08-13,2026-08-13T13:55:03.529463+00:00,4.94,0.28,0.29,0.29,0.01,NO,0,True,FORMER_FAVORITE,REVERSION,0.0963,0.5833,-0.112,UNCERTAIN,0.56,UNCERTAIN,STALE_UNDERLYING,63778.71,63807.92,False,3.4483,-1.0,0.002,-1.002,CT-only,,"{'C0': True, 'CT': True, 'CS': False, 'CS_short': False, 'C1': True, 'CT_plus_canonical_strike': False, 'CT_plus_proxy_strike': False}",BLOCKED_DATA,,0.0020000139999999996,-1.002000014,0.0,1.0000069999999999,0.0,-1.0000069999999999,,False,False,False
3542111_2026-08-13T16:10:26.823508+00:00,3542111,BTC,2026-08-13,2026-08-13T16:10:26.823508+00:00,4.55,0.37,0.38,0.38,0.01,YES,1,True,FORMER_FAVORITE,REVERSION,0.0678,0.5,-0.2966,TREND,0.7749,UNCERTAIN,STALE_UNDERLYING,63451.93,63420.01,True,2.6316,1.6316,0.002,1.6296,CT-only,,"{'C0': True, 'CT': True, 'CS': False, 'CS_short': False, 'C1': True, 'CT_plus_canonical_strike': False, 'CT_plus_proxy_strike': True}",BLOCKED_DATA,,0.002000016,1.629599984,0.0,1.000008,2.6316,1.6315920000000002,,True,True,False
3552260_2026-08-13T20:40:02.590318+00:00,3552260,BTC,2026-08-13,2026-08-13T20:40:02.590318+00:00,4.96,0.29,0.3,0.3,0.01,NO,0,True,FORMER_FAVORITE,REVERSION,0.1919,0.8,-0.3619,UNCERTAIN,0.479,UNCERTAIN,STALE_UNDERLYING,63442.01,63453.31,False,3.3333,-1.0,0.002,-1.002,CT-only,,"{'C0': True, 'CT': True, 'CS': False, 'CS_short': False, 'C1': True, 'CT_plus_canonical_strike': False, 'CT_plus_proxy_strike': False}",BLOCKED_DATA,,0.0019999799999999997,-1.00199998,0.0,0.9999899999999999,0.0,-0.9999899999999999,,False,False,False
3553919_2026-08-13T23:25:02.841920+00:00,3553919,BTC,2026-08-13,2026-08-13T23:25:02.841920+00:00,4.95,0.37,0.38,0.38,0.01,NO,0,True,FORMER_FAVORITE,REVERSION,0.1402,0.5556,-0.2368,UNCERTAIN,0.5859,UNCERTAIN,STALE_UNDERLYING,63463.29,63478.0,True,2.6316,-1.0,0.002,-1.002,CT-only,,"{'C0': True, 'CT': True, 'CS': False, 'CS_short': False, 'C1': True, 'CT_plus_canonical_strike': False, 'CT_plus_proxy_strike': True}",BLOCKED_DATA,,0.002000016,-1.002000016,0.0,1.000008,0.0,-1.000008,,False,False,False
3555519_2026-08-14T00:55:44.247509+00:00,3555519,BTC,2026-08-14,2026-08-14T00:55:44.247509+00:00,4.26,0.38,0.39,0.39,0.01,YES,1,True,FORMER_FAVORITE,REVERSION,0.0076,0.5,-0.3952,UNCERTAIN,0.5289,UNCERTAIN,STALE_UNDERLYING,63539.47,63526.01,False,2.5641,1.5641,0.002,1.5621,CT-only,,"{'C0': True, 'CT': True, 'CS': False, 'CS_short': False, 'C1': True, 'CT_plus_canonical_strike': False, 'CT_plus_proxy_strike': False}",BLOCKED_DATA,,0.001999998,1.562100002,0.0,0.999999,2.5641,1.564101,,True,True,False
3556767_2026-08-14T03:10:01.254524+00:00,3556767,BTC,2026-08-14,2026-08-14T03:10:01.254524+00:00,4.98,0.37,0.38,0.38,0.01,YES,1,True,OTHER_TRAJECTORY,REVERSION,0.2059,0.5833,-0.0824,UNCERTAIN,0.4542,UNCERTAIN,STALE_UNDERLYING,63449.45,63465.39,True,2.6316,1.6316,0.002,1.6296,CT-only,,"{'C0': True, 'CT': True, 'CS': False, 'CS_short': False, 'C1': True, 'CT_plus_canonical_strike': False, 'CT_plus_proxy_strike': True}",BLOCKED_DATA,,0.002000016,1.629599984,0.0,1.000008,2.6316,1.6315920000000002,,True,True,False
3556954_2026-08-14T03:55:01.800837+00:00,3556954,BTC,2026-08-14,2026-08-14T03:55:01.800837+00:00,4.97,0.29,0.31,0.31,0.02,NO,0,True,OTHER_TRAJECTORY,REVERSION,0.3435,0.6667,-0.5061,TREND,0.8532,UNCERTAIN,STALE_UNDERLYING,63337.53,63380.09,True,3.2258,-1.0,0.002,-1.002,CT-only,,"{'C0': True, 'CT': True, 'CS': False, 'CS_short': False, 'C1': True, 'CT_plus_canonical_strike': False, 'CT_plus_proxy_strike': True}",BLOCKED_DATA,,0.001999996,-1.001999996,0.0,0.9999979999999999,0.0,-0.9999979999999999,,False,False,False
3557376_2026-08-14T04:25:01.529714+00:00,3557376,BTC,2026-08-14,2026-08-14T04:25:01.529714+00:00,4.97,0.17,0.18,0.18,0.01,YES,1,True,FORMER_FAVORITE,REVERSION,0.2991,0.5455,-0.0887,UNCERTAIN,0.4793,UNCERTAIN,STALE_UNDERLYING,63380.0,63408.27,False,5.5556,4.5556,0.002,4.5536,CT-only,,"{'C0': True, 'CT': True, 'CS': False, 'CS_short': False, 'C1': True, 'CT_plus_canonical_strike': False, 'CT_plus_proxy_strike': False}",BLOCKED_DATA,,0.002000016,4.553599984,0.0,1.000008,5.5556,4.555592,,True,True,False
3557675_2026-08-14T04:40:01.414898+00:00,3557675,BTC,2026-08-14,2026-08-14T04:40:01.414898+00:00,4.98,0.22,0.23,0.23,0.01,NO,0,True,OTHER_TRAJECTORY,REVERSION,0.3607,0.5,-0.2633,REVERSION,0.072,UNCERTAIN,STALE_UNDERLYING,63399.99,63423.49,False,4.3478,-1.0,0.002,-1.002,Both,,"{'C0': True, 'CT': True, 'CS': True, 'CS_short': False, 'C1': True, 'CT_plus_canonical_strike': False, 'CT_plus_proxy_strike': False}",BLOCKED_DATA,,0.0019999880000000003,-1.001999988,0.0,0.9999940000000002,0.0,-0.9999940000000002,,False,False,False
3560657_2026-08-14T06:55:00.771833+00:00,3560657,BTC,2026-08-14,2026-08-14T06:55:00.771833+00:00,4.99,0.01,0.02,0.02,0.01,NO,0,True,FORMER_FAVORITE,REVERSION,0.322,0.6667,-0.2188,TREND,0.6835,UNCERTAIN,STALE_UNDERLYING,63027.8,63180.54,False,50.0,-1.0,0.002,-1.002,CT-only,,"{'C0': True, 'CT': True, 'CS': False, 'CS_short': False, 'C1': True, 'CT_plus_canonical_strike': False, 'CT_plus_proxy_strike': False}",BLOCKED_DATA,,0.002,-1.002,0.0,1.0,0.0,-1.0,,False,False,False
