asset,hour_group_utc,weekday,entry_policy,variant,n,days,win_rate,net_pnl,expectancy
ETH,18-24,1,FUNNEL,YES_OUTSIDER,37,4,0.4324,-1.1228,-0.030346
ETH,18-24,1,GRID,YES_FAVORITE,63,5,0.8095,9.8385,0.156167
ETH,18-24,1,GRID,YES_OUTSIDER,101,5,0.2475,-19.3314,-0.1914
ETH,18-24,2,FUNNEL,NO_FAVORITE,14,3,0.7143,-0.3061,-0.021867
ETH,18-24,2,FUNNEL,NO_OUTSIDER,35,4,0.3429,-9.3417,-0.266906
ETH,18-24,2,FUNNEL,YES_FAVORITE,12,2,0.6667,-0.0485,-0.00404
ETH,18-24,2,FUNNEL,YES_OUTSIDER,42,5,0.5476,9.4449,0.224877
ETH,18-24,2,GRID,YES_FAVORITE,98,5,0.7857,6.2941,0.064225
ETH,18-24,2,GRID,YES_OUTSIDER,101,5,0.297,-17.854,-0.176772
ETH,18-24,3,FUNNEL,NO_FAVORITE,3,2,0.6667,0.4101,0.136686
ETH,18-24,3,FUNNEL,NO_OUTSIDER,60,4,0.4833,3.2833,0.054722
ETH,18-24,3,FUNNEL,YES_OUTSIDER,33,4,0.4848,3.0436,0.09223
ETH,18-24,3,GRID,YES_FAVORITE,134,4,0.7836,4.517,0.033709
ETH,18-24,3,GRID,YES_OUTSIDER,138,4,0.2174,-40.6271,-0.294399
ETH,18-24,4,FUNNEL,NO_FAVORITE,9,3,0.4444,-1.8676,-0.207516
ETH,18-24,4,FUNNEL,NO_OUTSIDER,42,4,0.4762,1.4876,0.035419
ETH,18-24,4,FUNNEL,YES_OUTSIDER,45,4,0.4444,-1.811,-0.040244
ETH,18-24,4,GRID,YES_FAVORITE,82,4,0.8171,10.1853,0.124211
ETH,18-24,4,GRID,YES_OUTSIDER,118,4,0.2881,0.5617,0.00476
ETH,18-24,5,FUNNEL,NO_FAVORITE,1,1,1.0,0.9608,0.960784
ETH,18-24,5,FUNNEL,NO_OUTSIDER,22,2,0.4091,-1.4136,-0.064254
ETH,18-24,5,FUNNEL,YES_OUTSIDER,25,2,0.44,-1.3018,-0.052074
ETH,18-24,5,GRID,YES_FAVORITE,58,2,0.7586,2.703,0.046604
ETH,18-24,5,GRID,YES_OUTSIDER,40,2,0.1,-28.7217,-0.718042
ETH,18-24,6,FUNNEL,NO_OUTSIDER,31,3,0.4194,-1.7766,-0.05731
ETH,18-24,6,FUNNEL,YES_FAVORITE,1,1,0.0,-1.0,-1.0
ETH,18-24,6,FUNNEL,YES_OUTSIDER,40,3,0.425,-2.1981,-0.054952
ETH,18-24,6,GRID,YES_FAVORITE,53,3,0.6604,-4.8299,-0.09113
ETH,18-24,6,GRID,YES_OUTSIDER,54,3,0.2593,-8.0675,-0.149398
SOL,00-06,0,FUNNEL,NO_FAVORITE,5,2,0.8,2.2335,0.446707
SOL,00-06,0,FUNNEL,NO_OUTSIDER,30,3,0.4667,3.261,0.1087
