n,days,win_rate,gross_pnl,net_pnl,scenario_net_pnl,expectancy,avg_win,avg_loss,payoff,max_drawdown,median,top5_share,asset,entry_policy,entry_time,variant,price_bin,status,exp_ci95
1,1,0.0,-1.0,-1.0,-1.02,-1.0,0.0,-1.0,0.0,1.0,-1.0,1.0,BTC,GRID,8,YES_OUTSIDER,"[0.90,0.99]",INSUFFICIENT_SAMPLE,
339,29,0.4867,-31.8591,-31.8591,-38.6391,-0.09398,0.8615,-1.0,0.8615,37.6162,-1.0,-0.1508,DOGE,FUNNEL,FUNNEL,NO_FAVORITE,"[0.50,0.60)",OK,"[-0.160187, -0.022308]"
87,17,0.5172,-15.5269,-15.5269,-17.2668,-0.17847,0.5883,-1.0,0.5883,15.5269,0.4493,-0.2147,DOGE,FUNNEL,FUNNEL,NO_FAVORITE,"[0.60,0.70)",OK,"[-0.364238, -0.024568]"
40,18,0.8,3.0051,3.0051,2.2051,0.075129,0.3439,-1.0,0.3439,1.6591,0.3333,0.6997,DOGE,FUNNEL,FUNNEL,NO_FAVORITE,"[0.70,0.80)",OK,"[-0.082684, 0.207974]"
30,19,0.8333,-0.6498,-0.6498,-1.2498,-0.021661,0.174,-1.0,0.174,1.7444,0.1696,-1.6907,DOGE,FUNNEL,FUNNEL,NO_FAVORITE,"[0.80,0.90)",OK,"[-0.166734, 0.125782]"
50,21,0.7,-12.8609,-12.8609,-13.8609,-0.257218,0.0611,-1.0,0.0611,13.2533,0.0309,-0.0422,DOGE,FUNNEL,FUNNEL,NO_FAVORITE,"[0.90,0.99]",OK,"[-0.396803, -0.111502]"
1,1,1.0,10.1111,10.1111,10.0911,10.111111,10.1111,0.0,,0.0,10.1111,1.0,DOGE,FUNNEL,FUNNEL,NO_OUTSIDER,"[0.05,0.10)",INSUFFICIENT_SAMPLE,
2,2,0.0,-2.0,-2.0,-2.04,-1.0,0.0,-1.0,0.0,2.0,-1.0,1.0,DOGE,FUNNEL,FUNNEL,NO_OUTSIDER,"[0.10,0.15)",INSUFFICIENT_SAMPLE,
3,2,0.0,-3.0,-3.0,-3.06,-1.0,0.0,-1.0,0.0,3.0,-1.0,1.0,DOGE,FUNNEL,FUNNEL,NO_OUTSIDER,"[0.20,0.25)",INSUFFICIENT_SAMPLE,
3,2,0.3333,0.4483,0.4483,0.3883,0.149425,2.4483,-1.0,2.4483,1.0,-1.0,1.0,DOGE,FUNNEL,FUNNEL,NO_OUTSIDER,"[0.25,0.30)",INSUFFICIENT_SAMPLE,
