decision_at,day,net,cumnet
2026-08-12 10:05:00+00:00,2026-08-12,4.229250334672019,75.49222335674814
2026-08-12 10:10:00+00:00,2026-08-12,-1.0,74.49222335674814
2026-08-12 10:35:00+00:00,2026-08-12,-1.0,73.49222335674814
2026-08-12 10:35:00+00:00,2026-08-12,1.9688390651719554,75.46106242192009
2026-08-12 10:35:00+00:00,2026-08-12,-1.0,74.46106242192009
2026-08-12 10:50:00+00:00,2026-08-12,-1.0,73.46106242192009
2026-08-12 12:55:00+00:00,2026-08-12,-1.0,72.46106242192009
2026-08-12 13:05:00+00:00,2026-08-12,-1.0,71.46106242192009
2026-08-12 13:05:00+00:00,2026-08-12,-1.0,70.46106242192009
2026-08-12 15:40:00+00:00,2026-08-12,-1.0,69.46106242192009
2026-08-12 17:55:00+00:00,2026-08-12,2.6394339952250623,72.10049641714515
2026-08-12 22:35:00+00:00,2026-08-12,-1.0,71.10049641714515
2026-08-12 23:10:00+00:00,2026-08-12,-1.0,70.10049641714515
2026-08-13 00:35:00+00:00,2026-08-13,-1.0,69.10049641714515
2026-08-13 01:10:00+00:00,2026-08-13,2.26943762403429,71.36993404117945
2026-08-13 01:58:00+00:00,2026-08-13,1.7979228220968757,73.16785686327633
2026-08-13 02:25:00+00:00,2026-08-13,2.506963075185781,75.67481993846211
2026-08-13 02:40:00+00:00,2026-08-13,3.1059836499731057,78.78080358843522
2026-08-13 03:10:00+00:00,2026-08-13,-1.0,77.78080358843522
2026-08-13 03:13:00+00:00,2026-08-13,4.533207545081808,82.31401113351703
2026-08-13 03:55:00+00:00,2026-08-13,3.4910919191783103,85.80510305269534
2026-08-13 05:05:00+00:00,2026-08-13,3.9572929214814367,89.76239597417678
2026-08-13 06:35:00+00:00,2026-08-13,-1.0,88.76239597417678
2026-08-13 09:35:00+00:00,2026-08-13,-1.0,87.76239597417678
2026-08-13 09:50:00+00:00,2026-08-13,-1.0,86.76239597417678
2026-08-13 10:05:00+00:00,2026-08-13,-1.0,85.76239597417678
2026-08-13 10:25:00+00:00,2026-08-13,1.7979228220968757,87.56031879627366
2026-08-13 11:05:00+00:00,2026-08-13,-1.0,86.56031879627366
2026-08-13 11:40:00+00:00,2026-08-13,-1.0,85.56031879627366
2026-08-13 13:05:00+00:00,2026-08-13,-1.0,84.56031879627366
2026-08-13 13:50:00+00:00,2026-08-13,-1.0,83.56031879627366
2026-08-13 13:50:00+00:00,2026-08-13,-1.0,82.56031879627366
2026-08-13 16:13:00+00:00,2026-08-13,-1.0,81.56031879627366
2026-08-13 17:10:00+00:00,2026-08-13,2.3839573350659187,83.94427613133958
2026-08-13 17:35:00+00:00,2026-08-13,-1.0,82.94427613133958
2026-08-13 17:35:00+00:00,2026-08-13,-1.0,81.94427613133958
2026-08-13 17:35:00+00:00,2026-08-13,-1.0,80.94427613133958
2026-08-13 17:35:00+00:00,2026-08-13,-1.0,79.94427613133958
2026-08-13 18:35:00+00:00,2026-08-13,-1.0,78.94427613133958
2026-08-13 18:35:00+00:00,2026-08-13,-1.0,77.94427613133958
2026-08-13 18:40:00+00:00,2026-08-13,-1.0,76.94427613133958
2026-08-13 19:05:00+00:00,2026-08-13,-1.0,75.94427613133958
2026-08-13 20:35:00+00:00,2026-08-13,-1.0,74.94427613133958
2026-08-13 20:35:00+00:00,2026-08-13,-1.0,73.94427613133958
2026-08-13 20:35:00+00:00,2026-08-13,4.875164504606128,78.81944063594571
2026-08-13 20:35:00+00:00,2026-08-13,3.1059836499731057,81.92542428591882
2026-08-13 21:05:00+00:00,2026-08-13,-1.0,80.92542428591882
2026-08-13 21:05:00+00:00,2026-08-13,-1.0,79.92542428591882
2026-08-13 21:10:00+00:00,2026-08-13,-1.0,78.92542428591882
2026-08-13 22:35:00+00:00,2026-08-13,-1.0,77.92542428591882
2026-08-13 22:35:00+00:00,2026-08-13,-1.0,76.92542428591882
2026-08-13 22:50:00+00:00,2026-08-13,-1.0,75.92542428591882
2026-08-13 23:20:00+00:00,2026-08-13,2.1625553447185326,78.08797963063735
2026-08-13 23:50:00+00:00,2026-08-13,-1.0,77.08797963063735
2026-08-14 00:20:00+00:00,2026-08-14,-1.0,76.08797963063735
2026-08-14 00:55:00+00:00,2026-08-14,-1.0,75.08797963063735
2026-08-14 01:05:00+00:00,2026-08-14,-1.0,74.08797963063735
2026-08-14 01:05:00+00:00,2026-08-14,-1.0,73.08797963063735
2026-08-14 01:20:00+00:00,2026-08-14,-1.0,72.08797963063735
2026-08-14 01:50:00+00:00,2026-08-14,-1.0,71.08797963063735
2026-08-14 02:55:00+00:00,2026-08-14,2.937503937503938,74.02548356814128
2026-08-14 03:05:00+00:00,2026-08-14,-1.0,73.02548356814128
2026-08-14 03:05:00+00:00,2026-08-14,2.0625713961956738,75.08805496433696
2026-08-14 03:50:00+00:00,2026-08-14,-1.0,74.08805496433696
2026-08-14 04:25:00+00:00,2026-08-14,-1.0,73.08805496433696
2026-08-14 05:58:00+00:00,2026-08-14,-1.0,72.08805496433696
2026-08-14 06:05:00+00:00,2026-08-14,-1.0,71.08805496433696
2026-08-14 06:20:00+00:00,2026-08-14,-1.0,70.08805496433696
2026-08-14 06:35:00+00:00,2026-08-14,4.533207545081807,74.62126250941877
2026-08-14 06:35:00+00:00,2026-08-14,-1.0,73.62126250941877
2026-08-14 07:50:00+00:00,2026-08-14,-1.0,72.62126250941877
2026-08-14 08:05:00+00:00,2026-08-14,-1.0,71.62126250941877
2026-08-14 08:05:00+00:00,2026-08-14,-1.0,70.62126250941877
2026-08-14 08:05:00+00:00,2026-08-14,-1.0,69.62126250941877
2026-08-14 09:58:00+00:00,2026-08-14,-1.0,68.62126250941877
2026-08-14 10:20:00+00:00,2026-08-14,2.506963075185781,71.12822558460455
2026-08-14 10:20:00+00:00,2026-08-14,1.2771158960906472,72.4053414806952
2026-08-14 14:25:00+00:00,2026-08-14,-1.0,71.4053414806952
2026-08-14 14:55:00+00:00,2026-08-14,-1.0,70.4053414806952
2026-08-14 15:05:00+00:00,2026-08-14,1.2256497227953274,71.63099120349052
2026-08-14 15:10:00+00:00,2026-08-14,-1.0,70.63099120349052
2026-08-14 15:20:00+00:00,2026-08-14,1.3310947053845958,71.96208590887512
2026-08-14 17:10:00+00:00,2026-08-14,4.533207545081808,76.49529345395693
2026-08-14 17:10:00+00:00,2026-08-14,2.6394339952250623,79.134727449182
2026-08-14 17:25:00+00:00,2026-08-14,-1.0,78.134727449182
2026-08-14 18:50:00+00:00,2026-08-14,-1.0,77.134727449182
2026-08-14 19:10:00+00:00,2026-08-14,-1.0,76.134727449182
2026-08-14 19:20:00+00:00,2026-08-14,-1.0,75.134727449182
2026-08-14 19:25:00+00:00,2026-08-14,-1.0,74.134727449182
