asset_phase,rank,variant,C,class_weight,sample_weight_mode,calibration,auc,ece,total_pnl,n_trades,win_rate,deployable,t1_pnl,t2_pnl,t3_pnl,median_window_pnl,rejection_reasons
ETH_contested,9,BASE,1.0,,uniform,RAW,0.5008,0.0008,0.0,1251,0.482,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
ETH_contested,10,BASE,1.0,,uniform,PLATT,0.5008,0.0008,0.0,1251,0.482,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
SOL,1,BASE,0.1,,uniform,RAW,0.6408,0.0027,0.0,2730,0.47,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
SOL,2,BASE,0.1,,uniform,PLATT,0.6408,0.0027,0.0,2730,0.47,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
SOL,3,BASE,0.1,,time_decay,RAW,0.6416,0.0052,0.0,2655,0.4606,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
SOL,4,BASE,0.1,,time_decay,PLATT,0.6416,0.0052,0.0,2655,0.4606,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
SOL,5,BASE,0.1,balanced,uniform,RAW,0.6418,0.2525,0.0,3962,0.3864,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00); Excessive ECE (0.2525 > 0.10)
SOL,6,BASE,0.1,balanced,uniform,PLATT,0.6418,0.2525,0.0,3962,0.3864,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00); Excessive ECE (0.2525 > 0.10)
SOL,7,BASE,0.1,balanced,time_decay,RAW,0.6424,0.3222,0.0,3964,0.3862,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00); Excessive ECE (0.3222 > 0.10)
SOL,8,BASE,0.1,balanced,time_decay,PLATT,0.6424,0.3222,0.0,3964,0.3862,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00); Excessive ECE (0.3222 > 0.10)
SOL,9,BASE,1.0,,uniform,RAW,0.6415,0.0032,0.0,2714,0.4676,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
