opportunity_id,market_id,asset,calendar_date,decision_at,time_left_min,executable_ask,diagnostic_mid,diagnostic_half_spread,diagnostic_spread_cost,shares,target,gross_pnl,net_pnl,reproduced_net_pnl,historical_fee,historical_net_pnl,scenario_id,scenario_fee,scenario_net_pnl,sign_changed
2742727_2026-07-01T11:40:35.060699+00:00,2742727,BTC,2026-07-01,2026-07-01T11:40:35.060699+00:00,4.42,0.22,0.215,0.0050000000000000044,0.02272750000000002,4.5455,0,-1.0,-1.002,-1.00201002,,,0.1% Demonstration Scenario,0.001,-1.0010099999999997,False
2742802_2026-07-01T11:55:34.729132+00:00,2742802,BTC,2026-07-01,2026-07-01T11:55:34.729132+00:00,4.42,0.05,0.045,0.0050000000000000044,0.10000000000000009,20.0,0,-1.0,-1.002,-1.002,,,0.1% Demonstration Scenario,0.001,-1.001,False
2743274_2026-07-01T12:10:36.130489+00:00,2743274,BTC,2026-07-01,2026-07-01T12:10:36.130489+00:00,4.4,0.28,0.275,0.0050000000000000044,0.017857000000000015,3.5714,0,-1.0,-1.002,-1.001991984,,,0.1% Demonstration Scenario,0.001,-1.000992,False
2743348_2026-07-01T12:40:35.319101+00:00,2743348,BTC,2026-07-01,2026-07-01T12:40:35.319101+00:00,4.41,0.02,0.015,0.005000000000000001,0.25000000000000006,50.0,0,-1.0,-1.002,-1.002,,,0.1% Demonstration Scenario,0.001,-1.001,False
2743819_2026-07-01T14:25:34.871227+00:00,2743819,BTC,2026-07-01,2026-07-01T14:25:34.871227+00:00,4.42,0.4,0.39,0.010000000000000009,0.025000000000000022,2.5,0,-1.0,-1.002,-1.002,,,0.1% Demonstration Scenario,0.001,-1.001,False
2743860_2026-07-01T14:40:34.895885+00:00,2743860,BTC,2026-07-01,2026-07-01T14:40:34.895885+00:00,4.42,0.14,0.135,0.0050000000000000044,0.03571450000000003,7.1429,0,-1.0,-1.002,-1.0020060120000003,,,0.1% Demonstration Scenario,0.001,-1.001006,False
2744111_2026-07-01T15:40:36.436723+00:00,2744111,BTC,2026-07-01,2026-07-01T15:40:36.436723+00:00,4.39,0.07,0.065,0.0050000000000000044,0.07142850000000006,14.2857,0,-1.0,-1.002,-1.0019989980000001,,,0.1% Demonstration Scenario,0.001,-1.000999,False
2744173_2026-07-01T15:55:35.333907+00:00,2744173,BTC,2026-07-01,2026-07-01T15:55:35.333907+00:00,4.41,0.05,0.045,0.0050000000000000044,0.10000000000000009,20.0,0,-1.0,-1.002,-1.002,,,0.1% Demonstration Scenario,0.001,-1.001,False
2744556_2026-07-01T16:25:34.926549+00:00,2744556,BTC,2026-07-01,2026-07-01T16:25:34.926549+00:00,4.42,0.08,0.07500000000000001,0.0049999999999999906,0.06249999999999988,12.5,1,11.5,11.498,11.498,,,0.1% Demonstration Scenario,0.001,11.499,False
2744625_2026-07-01T16:40:42.387365+00:00,2744625,BTC,2026-07-01,2026-07-01T16:40:42.387365+00:00,4.29,0.08,0.07500000000000001,0.0049999999999999906,0.06249999999999988,12.5,0,-1.0,-1.002,-1.002,,,0.1% Demonstration Scenario,0.001,-1.001,False
2745499_2026-07-01T17:10:35.525539+00:00,2745499,BTC,2026-07-01,2026-07-01T17:10:35.525539+00:00,4.41,0.38,0.375,0.0050000000000000044,0.013158000000000012,2.6316,0,-1.0,-1.002,-1.002008016,,,0.1% Demonstration Scenario,0.001,-1.001008,False
2745794_2026-07-01T18:10:35.241683+00:00,2745794,BTC,2026-07-01,2026-07-01T18:10:35.241683+00:00,4.41,0.04,0.035,0.0049999999999999975,0.12499999999999994,25.0,0,-1.0,-1.002,-1.002,,,0.1% Demonstration Scenario,0.001,-1.001,False
2746302_2026-07-01T18:55:35.960383+00:00,2746302,BTC,2026-07-01,2026-07-01T18:55:35.960383+00:00,4.4,0.14,0.135,0.0050000000000000044,0.03571450000000003,7.1429,0,-1.0,-1.002,-1.0020060120000003,,,0.1% Demonstration Scenario,0.001,-1.001006,False
2746688_2026-07-01T19:25:35.736772+00:00,2746688,BTC,2026-07-01,2026-07-01T19:25:35.736772+00:00,4.4,0.11,0.10500000000000001,0.0049999999999999906,0.04545449999999991,9.0909,0,-1.0,-1.002,-1.001998998,,,0.1% Demonstration Scenario,0.001,-1.000999,False
2746789_2026-07-01T19:55:36.036541+00:00,2746789,BTC,2026-07-01,2026-07-01T19:55:36.036541+00:00,4.4,0.04,0.035,0.0049999999999999975,0.12499999999999994,25.0,0,-1.0,-1.002,-1.002,,,0.1% Demonstration Scenario,0.001,-1.001,False
2746844_2026-07-01T20:10:35.666366+00:00,2746844,BTC,2026-07-01,2026-07-01T20:10:35.666366+00:00,4.41,0.07,0.065,0.0050000000000000044,0.07142850000000006,14.2857,0,-1.0,-1.002,-1.0019989980000001,,,0.1% Demonstration Scenario,0.001,-1.000999,False
2747453_2026-07-01T21:25:35.391679+00:00,2747453,BTC,2026-07-01,2026-07-01T21:25:35.391679+00:00,4.41,0.16,0.155,0.0050000000000000044,0.03125000000000003,6.25,1,5.25,5.248,5.248,,,0.1% Demonstration Scenario,0.001,5.249,False
2747863_2026-07-01T22:40:34.414969+00:00,2747863,BTC,2026-07-01,2026-07-01T22:40:34.414969+00:00,4.43,0.27,0.265,0.0050000000000000044,0.018518500000000018,3.7037,0,-1.0,-1.002,-1.0019989980000001,,,0.1% Demonstration Scenario,0.001,-1.000999,False
2748166_2026-07-01T22:55:36.012304+00:00,2748166,BTC,2026-07-01,2026-07-01T22:55:36.012304+00:00,4.4,0.2,0.195,0.0050000000000000044,0.025000000000000022,5.0,0,-1.0,-1.002,-1.002,,,0.1% Demonstration Scenario,0.001,-1.001,False
2749253_2026-07-01T23:10:34.888201+00:00,2749253,BTC,2026-07-01,2026-07-01T23:10:34.888201+00:00,4.42,0.05,0.045,0.0050000000000000044,0.10000000000000009,20.0,0,-1.0,-1.002,-1.002,,,0.1% Demonstration Scenario,0.001,-1.001,False
2749373_2026-07-01T23:40:35.985392+00:00,2749373,BTC,2026-07-01,2026-07-01T23:40:35.985392+00:00,4.4,0.18,0.175,0.0050000000000000044,0.027778000000000025,5.5556,0,-1.0,-1.002,-1.002008016,,,0.1% Demonstration Scenario,0.001,-1.001008,False
2749446_2026-07-01T23:55:35.918390+00:00,2749446,BTC,2026-07-01,2026-07-01T23:55:35.918390+00:00,4.4,0.11,0.10500000000000001,0.0049999999999999906,0.04545449999999991,9.0909,0,-1.0,-1.002,-1.001998998,,,0.1% Demonstration Scenario,0.001,-1.000999,False
2749495_2026-07-02T00:10:34.416129+00:00,2749495,BTC,2026-07-02,2026-07-02T00:10:34.416129+00:00,4.43,0.1,0.095,0.0050000000000000044,0.050000000000000044,10.0,0,-1.0,-1.002,-1.002,,,0.1% Demonstration Scenario,0.001,-1.001,False
2749550_2026-07-02T00:25:34.890661+00:00,2749550,BTC,2026-07-02,2026-07-02T00:25:34.890661+00:00,4.42,0.06,0.055,0.0049999999999999975,0.08333349999999995,16.6667,0,-1.0,-1.002,-1.002002004,,,0.1% Demonstration Scenario,0.001,-1.0010019999999997,False
2749610_2026-07-02T00:40:34.414743+00:00,2749610,BTC,2026-07-02,2026-07-02T00:40:34.414743+00:00,4.43,0.03,0.025,0.0049999999999999975,0.1666664999999999,33.3333,0,-1.0,-1.002,-1.001998998,,,0.1% Demonstration Scenario,0.001,-1.000999,False
2750231_2026-07-02T01:55:36.157541+00:00,2750231,BTC,2026-07-02,2026-07-02T01:55:36.157541+00:00,4.4,0.12,0.11499999999999999,0.0050000000000000044,0.04166650000000004,8.3333,0,-1.0,-1.002,-1.001995992,,,0.1% Demonstration Scenario,0.001,-1.0009959999999998,False
2750279_2026-07-02T02:10:34.809985+00:00,2750279,BTC,2026-07-02,2026-07-02T02:10:34.809985+00:00,4.42,0.04,0.035,0.0049999999999999975,0.12499999999999994,25.0,0,-1.0,-1.002,-1.002,,,0.1% Demonstration Scenario,0.001,-1.001,False
2750560_2026-07-02T03:25:35.896086+00:00,2750560,BTC,2026-07-02,2026-07-02T03:25:35.896086+00:00,4.4,0.019,0.0165,0.0024999999999999988,0.13157899999999992,52.6316,1,51.6316,51.6296,51.6295995992,,,0.1% Demonstration Scenario,0.001,51.630599600000004,False
2751404_2026-07-02T04:10:35.484719+00:00,2751404,BTC,2026-07-02,2026-07-02T04:10:35.484719+00:00,4.41,0.04,0.035,0.0049999999999999975,0.12499999999999994,25.0,0,-1.0,-1.002,-1.002,,,0.1% Demonstration Scenario,0.001,-1.001,False
2751441_2026-07-02T04:25:35.892961+00:00,2751441,BTC,2026-07-02,2026-07-02T04:25:35.892961+00:00,4.4,0.06,0.055,0.0049999999999999975,0.08333349999999995,16.6667,0,-1.0,-1.002,-1.002002004,,,0.1% Demonstration Scenario,0.001,-1.0010019999999997,False
